"ID","いいね数"
12257,9
12256,3
12231,11
12244,8
12255,5
12254,12
12253,20
12252,1
12251,6
12249,2
12218,3
12217,6
12241,16
12148,9
12240,2
12239,6
12237,5
12236,5
12235,4
12234,9
12233,2
12230,11
12229,1
12228,16
12226,10
12224,5
12225,8
12223,14
12222,11
12075,11
12074,9
12147,15
12185,1
12215,2
12214,10
12213,5
12207,12
12211,11
12210,2
12209,2
12208,9
12206,12
12205,5
12031,7
12030,6
12204,17
12203,16
12089,6
12202,3
12201,4
12200,4
12199,7
12198,6
12194,13
12197,13
12196,6
12195,3
12193,2
12192,15
12191,5
12190,3
12189,3
12047,8
12046,6
12188,4
12187,18
12041,10
12186,3
12137,2
12184,5
12183,14
12182,11
12181,4
12180,5
12173,11
12179,8
12178,14
12177,7
12176,3
12175,4
12174,16
12172,1
12171,0
12170,1
12169,17
12168,0
12045,12
12044,12
11925,2
12026,8
12167,2
12166,6
12165,3
12164,13
12163,0
12162,4
12161,1
12160,9
12159,4
12158,10
12157,9
12156,3
12155,13
12153,8
12154,7
12151,3
12150,0
12149,0
12146,11
12145,9
12144,1
12135,1
12136,3
12069,9
12068,8
12143,8
12142,5
12141,5
12140,6
12139,8
12138,8
11986,1
12080,3
12134,3
12133,13
12132,7
12131,9
12130,7
12129,9
12128,7
12127,14
12126,3
12125,4
12103,7
12124,15
12123,5
12116,0
12121,10
12122,4
12120,1
12119,2
12118,9
12115,19
12114,12
12058,7
12057,5
11983,1
12113,14
12112,5
12111,12
12110,10
12109,3
12108,1
12107,1
12106,8
12105,3
12104,6
12101,3
12102,1
12100,14
12099,2
12093,6
12098,7
12097,9
12096,10
12095,9
12094,5
12092,9
12091,2
12090,1
12088,0
12087,9
12086,5
12085,1
11938,11
11937,7
12084,1
12083,1
11960,13
12081,1
12025,5
12079,22
12078,5
12077,1
12056,9
12076,17
12067,12
12073,15
12072,13
12071,14
12063,8
12066,15
12065,7
12064,0
12062,2
12060,11
11931,12
11930,8
12059,2
11852,9
12055,4
12054,10
12053,11
12052,6
12051,8
12050,8
12049,15
12043,12
12048,4
12039,9
12042,10
12040,20
12038,4
12037,2
12035,9
12034,8
12033,1
12032,12
11956,12
11955,10
12029,6
12028,3
11784,4
12024,2
11971,3
12023,4
12022,12
12021,14
12020,4
12019,4
12018,10
12017,3
12016,11
12015,2
12014,2
12013,11
12012,14
12003,4
12011,5
12010,8
12009,5
12008,6
12007,5
12006,7
12005,15
12004,13
12002,8
12000,3
12001,2
11998,5
11881,8
11880,8
11997,5
11764,8
11994,8
11996,5
11995,23
11993,11
11992,9
11991,3
11990,5
11989,8
11988,11
11987,4
11985,7
11984,2
11982,5
11981,7
11980,7
11976,7
11979,11
11978,9
11977,6
11975,5
11974,7
11973,5
11886,9
11885,9
11763,8
11972,13
11933,5
11970,6
11969,14
11968,11
11967,7
11966,14
11965,16
11964,12
11963,13
11962,7
11961,8
11959,8
11958,4
11957,2
11884,15
11883,13
11702,4
11954,9
11953,12
11943,11
11952,1
11951,5
11950,12
11949,7
11948,4
11947,6
11946,2
11945,13
11944,2
11939,6
11942,3
11941,12
11940,5
11936,1
11935,14
11756,12
11755,10
11675,5
11934,5
11895,3
11932,14
11929,16
11928,10
11927,6
11926,15
11921,12
11924,3
11923,14
11922,4
11920,11
11919,6
11918,9
11917,6
11916,7
11915,0
11914,1
11913,16
11734,12
11733,9
11911,23
11896,11
11680,11
11910,9
11909,9
11908,4
11907,8
11906,3
11905,16
11904,5
11903,4
11902,10
11900,3
11901,0
11899,17
11898,11
11897,11
11760,12
11759,11
11677,8
11871,5
11894,13
11893,16
11892,10
11891,7
11890,10
11889,8
11888,5
11887,14
11882,9
11875,10
11879,17
11878,14
11877,15
11876,11
11874,11
11873,16
11872,6
11719,12
11718,11
11668,2
11870,9
11869,7
11868,4
11867,10
11866,7
11865,4
11864,6
11863,5
11862,15
11861,6
11860,2
11858,11
11859,13
11857,8
11856,11
11855,1
11854,9
11853,1
11851,21
11850,11
11849,4
11616,3
11565,8
11450,5
11817,3
11848,12
11847,8
11846,4
11845,7
11844,4
11843,12
11842,8
11839,10
11840,13
11838,11
11837,18
11836,10
11835,4
11727,18
11726,13
11614,9
11834,2
11832,12
11831,9
11830,11
11829,3
11828,7
11827,21
11826,10
11825,7
11824,19
11822,8
11815,8
11821,14
11820,19
11819,12
11818,2
11816,18
11814,2
11813,3
11812,6
11725,11
11724,9
11587,0
11811,10
11780,12
11777,11
11770,3
11810,2
11809,5
11808,8
11807,3
11806,3
11805,9
11804,5
11803,13
11802,3
11801,9
11800,16
11799,13
11798,12
11797,16
11794,4
11796,3
11795,6
11793,4
11790,12
11792,10
11791,5
11789,12
11788,18
11787,9
11786,11
11717,11
11716,10
11785,3
11554,3
11771,7
11783,5
11782,8
11781,9
11779,5
11778,4
11776,10
11775,16
11774,6
11773,4
11772,4
11767,10
11769,9
11768,12
11766,9
11762,17
11761,18
11721,16
11720,11
11754,5
11758,12
11757,13
11551,8
11701,8
11753,8
11737,2
11752,9
11750,16
11749,6
11748,12
11747,3
11746,3
11745,2
11744,13
11743,7
11742,7
11741,5
11739,6
11738,1
11736,20
11699,9
11735,24
11732,12
11731,13
11730,12
11728,7
11729,4
11619,9
11618,8
11723,9
11722,7
11538,3
11665,6
11715,2
11714,0
11712,11
11711,9
11710,11
11709,23
11708,9
11707,9
11706,24
11705,13
11704,19
11703,24
11700,3
11654,10
11698,13
11697,28
11696,1
11695,1
11694,10
11693,8
11692,8
11691,20
11688,16
11689,29
11690,18
11583,6
11582,7
11679,0
11519,2
11666,6
11687,5
11670,9
11686,3
11685,6
11684,6
11683,3
11682,3
11681,13
11678,10
11673,1
11676,9
11674,14
11655,6
11672,5
11671,18
11669,9
11612,8
11611,8
11664,13
11657,2
11459,6
11662,1
11661,5
11660,5
11659,5
11658,5
11656,0
11653,6
11652,6
11651,3
11650,6
11644,1
11564,12
11649,8
11648,6
11647,5
11646,0
11645,5
11643,13
11642,5
